gold_id,latitude,longitude
Go0009660,13.16125,32.66342
Go0009661,22.28889,120.87222
Go0009662,44.633234,-123.193796
Go0009663,-30.50714,-57.71
Go0009718,34.94,138.57
Go0009723,41.525993,-70.676093
Go0009730,36.79499,-108.693466
Go0009734,69.372,88.235
Go0009735,45.888783,4.605968
Go0009756,26.27061,73.021177
Go0009757,26.27061,73.021177
Go0009758,44.524483,9.874639
Go0009782,44.524483,9.874639
Go0009783,-22.254586,166.612297
Go0009784,4.946111,-52.300833
Go0009785,4.880833,-52.312778
Go0009786,-21.014689,164.7411
Go0009787,-35.13531,142.0262
Go0009788,-35.32,148.25
Go0009789,46.422936,60.726814
Go0009790,42.37,-76.875999
Go0009793,31.1890535,120.2691876
Go0009803,13.06,80.249
Go0009812,26.0794,-98.138
Go0009814,9.1663,79.8248
Go0009815,9.1663,79.8248
Go0009816,35.772096,-78.638614
Go0009817,34.05125493,-111.089437
Go0009818,40.6331249,-89.3985283
Go0009838,27.185,33.81
Go0009846,-22.126355,113.90625
Go0009847,39.034832,-76.907474
Go0009848,42.02335,-93.625622
Go0009849,33.424006,-90.915101
Go0009850,42.02335,-93.625622
Go0009851,35.689488,139.6917
Go0009852,42.02335,-93.625622
Go0009853,35.689488,139.6917
Go0009882,22.8,-158
Go0009883,-12.494833,-4.998667
Go0009884,-24.77676,113.615112
Go0009885,-25.639,28.172
Go0009887,9.2835,-83.8533
Go0009889,-13.335,132.439
Go0009890,9.1727,79.8568
Go0010053,48.747361,6.349354
Go0010058,-45.53,169.9415
Go0010088,-40.3167,175.6169
Go0010089,45.53,169.9415
Go0010090,-45.864179,170.512551
Go0010091,-30.50714,-57.701898
Go0010092,-13.335,132.439
Go0010127,-31.381,19.3
Go0010128,-15.6,-47.7
Go0010129,-11.43,-41.392
Go0010131,-33.49,18.44
Go0010132,-11.06,-41.7
Go0010141,35.893,138.245
Go0010170,43.608401,3.880033
Go0010226,-33.394759,115.839844
Go0010227,-25.443275,113.950195
Go0010228,39.39902,8.560993
Go0010229,29.074324,-13.479696
Go0010230,49.6,11.004467
Go0010231,-35.1833,142.3833
Go0010232,37.073806,25.520554
Go0010236,52.68,1.3
Go0010237,52.68,1.3
Go0010238,47.239,5.091
Go0010239,47.75,1.32
Go0010240,40.735812,8.559036
Go0010241,43.61944,122.265737
Go0010242,-22.724976,-47.6476
Go0010250,-38.159221,176.261873
Go0010263,40.4733,25.5222
Go0010264,40.94412,9.066467
Go0010265,36.3833,42.45
Go0010266,-16.785461,145.6857333
Go0010267,-22.741391,-43.70525
Go0010268,33.3245,7.99
Go0010269,29.074324,-13.479696
Go0010334,38.3912,14.9676
Go0010339,17.112443,80.022583
Go0010359,52.2,5.5
Go0010430,12.13333,-103.93333
Go0010603,35.339858,139.491291
Go0010615,44.354886,-103.763954
Go0010623,37.68,-122.28
Go0010633,44.354886,-103.763954
Go0010634,44.354886,-103.763954
Go0010703,45.08,13.64
Go0010706,45.08,13.64
Go0010854,-12.494833,-4.998667
Go0010875,-12.494833,-4.998667
Go0011006,44.469,-110.639
Go0011007,-23.628991,-70.372898
Go0011009,-12.49,-4.99
Go0011010,-12.49,-4.99
Go0011011,22.75,-158
Go0011012,-12.49,-4.99
Go0011013,22.75,-158
Go0011014,22.75,-158
Go0011015,22.75,-158
Go0011201,31.392,90.009
Go0011220,49.566,8.973
Go0011250,39.49,-0.4
Go0011291,51.38,-2.35
Go0011342,49.682207,-124.005217
Go0011343,49.682207,-124.005217
Go0011344,49.682207,-124.005217
Go0011345,49.682207,-124.005217
Go0011346,49.682207,-124.005217
Go0011347,49.682207,-124.005217
Go0011348,49.682207,-124.005217
Go0011349,49.682207,-124.005217
Go0011350,49.682207,-124.005217
Go0011355,25.671667,-100.341667
Go0011358,40.661433,-119.36625
Go0011359,40.661433,-119.36625
Go0011360,40.661433,-119.36625
Go0011361,40.661433,-119.36625
Go0011393,49.682207,-124.005217
Go0011395,49.682207,-124.005217
Go0011396,49.682207,-124.005217
Go0011397,49.682207,-124.005217
Go0011398,49.682207,-124.005217
Go0011399,49.682207,-124.005217
Go0011400,49.682207,-124.005217
Go0011401,49.682207,-124.005217
Go0011402,40.661433,-119.36625
Go0011403,40.661433,-119.36625
Go0011404,49.682207,-124.005217
Go0011406,49.682207,-124.005217
Go0011407,49.682207,-124.005217
Go0011409,49.682207,-124.005217
Go0011411,49.682207,-124.005217
Go0011412,49.682207,-124.005217
Go0011413,49.682207,-124.005217
Go0011414,49.682207,-124.005217
Go0011444,56.10555,10.463333
Go0011448,38.483206,21.321511
Go0011449,38.483206,21.321511
Go0011450,38.483206,21.321511
Go0011451,25.671667,-100.341667
Go0011452,25.671667,-100.341667
Go0011453,25.671667,-100.341667
Go0011454,49.682207,-124.005217
Go0011455,38.483206,21.321511
Go0011456,49.682207,-124.005217
Go0011457,25.671667,-100.341667
Go0011460,25.671667,-100.341667
Go0011461,25.671667,-100.341667
Go0011464,25.671667,-100.341667
Go0011466,25.671667,-100.341667
Go0011508,25.671667,-100.341667
Go0011509,25.671667,-100.341667
Go0011510,25.671667,-100.341667
Go0011511,25.671667,-100.341667
Go0011512,25.671667,-100.341667
Go0011513,25.671667,-100.341667
Go0011514,25.671667,-100.341667
Go0011515,25.671667,-100.341667
Go0011516,25.671667,-100.341667
Go0011517,25.671667,-100.341667
Go0011518,25.671667,-100.341667
Go0011519,40.661433,-119.36625
Go0011543,25.671667,-100.341667
Go0011595,49.682207,-124.005217
Go0011596,49.682207,-124.005217
Go0011597,49.682207,-124.005217
Go0011598,49.682207,-124.005217
Go0011599,49.682207,-124.005217
Go0011601,25.671667,-100.341667
Go0011602,44.354886,-103.763954
Go0011604,44.354886,-103.763954
Go0011605,44.354886,-103.763954
Go0011606,44.354886,-103.763954
Go0011609,44.354886,-103.763954
Go0011611,44.354886,-103.763954
Go0011638,49.682207,-124.005217
Go0011639,49.682207,-124.005217
Go0011640,49.682207,-124.005217
Go0011641,49.682207,-124.005217
Go0011642,49.682207,-124.005217
Go0011643,49.682207,-124.005217
Go0011644,49.682207,-124.005217
Go0011645,49.682207,-124.005217
Go0011647,49.682207,-124.005217
Go0011648,49.682207,-124.005217
Go0011725,44.354886,-103.763954
Go0011838,9.8367,-104.2917
Go0011839,9.8367,-104.2917
Go0011929,40.661433,-119.36625
Go0011965,40.661433,-119.36625
Go0011967,40.661433,-119.36625
Go0011968,40.661433,-119.36625
Go0011969,40.661433,-119.36625
Go0011970,40.661433,-119.36625
Go0011973,40.661433,-119.36625
Go0011974,40.661433,-119.36625
Go0011976,49.682207,-124.005217
Go0011978,49.682207,-124.005217
Go0011979,49.682207,-124.005217
Go0011980,49.682207,-124.005217
Go0011981,49.682207,-124.005217
Go0011982,49.682207,-124.005217
Go0011983,49.682207,-124.005217
Go0011984,49.682207,-124.005217
Go0011985,49.682207,-124.005217
Go0011986,49.682207,-124.005217
Go0012013,40.661433,-119.36625
Go0012015,40.661433,-119.36625
Go0012016,40.661433,-119.36625
Go0012019,40.661433,-119.36625
Go0012020,40.661433,-119.36625
Go0012021,40.661433,-119.36625
Go0012023,49.682207,-124.005217
Go0012024,49.682207,-124.005217
Go0012025,49.682207,-124.005217
Go0012027,49.682207,-124.005217
Go0012028,49.682207,-124.005217
Go0012029,49.682207,-124.005217
Go0012031,49.682207,-124.005217
Go0012032,49.682207,-124.005217
Go0012033,49.682207,-124.005217
Go0012066,40.661433,-119.36625
Go0012067,40.661433,-119.36625
Go0012069,40.661433,-119.36625
Go0012073,40.661433,-119.36625
Go0012075,49.682207,-124.005217
Go0012076,49.682207,-124.005217
Go0012077,49.682207,-124.005217
Go0012078,49.682207,-124.005217
Go0012083,44.354886,-103.763954
Go0012116,49.682207,-124.005217
Go0012117,49.682207,-124.005217
Go0012118,49.682207,-124.005217
